ID_REF;a;b;c;d;e;f;g;h;i
ILMN_1343291;15.2042;15.0732;15.604;15.3676;15.604;15.604;15.604;15.604;15.604
ILMN_1343295;13.561;13.3186;12.9737;13.4277;13.2219;12.7885;13.4693;13.2254;13.3673
ILMN_1651199;6.95504;6.88771;7.07067;6.73014;6.68752;6.86278;6.81511;6.98146;6.86353
ILMN_1651209;6.81545;6.89826;7.08555;6.94685;7.19418;7.03697;6.86741;6.80511;6.90201
ILMN_1651210;6.69485;6.7454;6.81454;6.78991;7.00521;6.87798;6.9141;6.88072;6.98851
ILMN_1651221;7.1835;6.87174;6.94825;7.04858;6.95456;6.78033;6.97396;6.78014;6.898
ILMN_1651228;12.9259;12.9907;11.5246;12.8465;10.6354;12.8806;13.3078;13.3834;13.2512
ILMN_1651229;7.74553;7.7333;7.65859;7.74466;7.41274;7.68994;7.81009;7.50642;7.861
ILMN_1651230;6.95359;6.72047;6.85714;6.87837;7.03807;6.93699;6.98899;6.72173;6.80132
ILMN_1651232;6.97488;7.22312;7.60158;7.16225;7.18674;7.68827;7.1635;7.13234;7.18219
ILMN_1651235;7.03923;6.8727;6.8595;6.82137;6.88398;6.87416;6.92741;6.86847;6.94801
ILMN_1651236;7.02722;6.82452;6.9362;7.01062;7.02349;6.96062;7.0296;7.09498;6.91021
ILMN_1651237;10.5251;9.73389;9.08665;10.4207;10.0251;8.80833;10.5989;9.86422;8.65509
ILMN_1651238;6.86857;6.78089;6.9651;7.09923;6.86089;6.75762;7.01433;6.91158;7.03964
ILMN_1651249;6.79332;6.8888;6.79254;6.93956;6.99076;6.88535;6.83387;6.88187;6.75445
ILMN_1651253;7.90018;7.27797;7.04396;7.78128;6.85608;7.0463;8.06949;7.22547;7.2081
ILMN_1651254;10.5369;10.57;11.0129;11.0597;10.946;11.2598;10.9896;10.3934;11.4545
ILMN_1651259;7.1913;7.09172;7.03387;7.35002;6.72289;7.0515;6.98494;7.09634;7.0003
ILMN_1651260;6.91267;6.68922;6.76267;6.64353;6.80238;6.71662;6.90755;6.86008;6.88185
ILMN_1651262;13.7806;13.7644;13.0741;13.6739;14.3734;12.9687;13.6128;13.6581;13.0866
ILMN_1651268;7.4022;7.26809;7.02233;7.27597;7.00963;7.24566;7.15341;7.46245;7.11182
ILMN_1651278;8.87224;8.71233;8.17352;8.88033;8.88928;8.52638;8.77186;9.46801;8.53132
ILMN_1651279;7.14952;6.93182;6.99976;7.20657;7.0662;7.09068;7.07614;7.06317;7.17782
ILMN_1651281;6.74246;6.7238;6.79793;6.77424;6.85074;6.90209;6.62194;6.65712;6.75642
ILMN_1651282;7.36845;7.18872;7.01549;7.29557;7.19167;7.21579;7.3957;7.2279;7.2548
ILMN_1651285;7.27884;7.19198;7.01233;7.3929;6.92331;7.13516;7.28692;7.1588;7.05052
